,time,lon,lat,no2,o3,so2,pm2.5,pm10,co,tmax,tmin,hum,opady,tysk,wind
41705,30,26.75,51.25,4.71159299214681,58.999908447265625,4.418911616007487,18.63555399576823,22.2427978515625,247.124267578125,11.99,1.23,90.14,0.69,100.84,2.26
41706,31,26.75,51.25,3.4318068822224936,47.52116902669271,1.4628089269002278,14.506441752115885,17.595692952473957,214.58829752604169,15.61,5.3,92.84,0.28,100.27,2.32
41707,32,26.75,51.25,2.5753633181254068,62.876220703125,2.5111166636149087,16.72010548909505,20.53160095214844,210.7906087239584,17.53,2.89,90.78,3.28,99.27,2.28
41708,33,26.75,51.25,1.6129735310872395,68.37265014648438,0.632695198059082,4.234572728474935,5.60261344909668,168.17294311523438,9.12,-0.72,80.42,1.1,98.95,3.72
41709,34,26.75,51.25,2.2136154174804688,59.063313802083336,0.8926382064819336,5.046615918477376,6.426115036010742,175.13494873046875,7.29,-1.85,83.46,0.61,99.08,1.71
41710,35,26.75,51.25,1.902002970377604,56.84807332356771,0.5895279248555502,3.756280263264974,4.631327311197917,165.99308268229166,6.24,-2.34,83.55,0.31,99.48,2.31
41711,36,26.75,51.25,2.0654703776041665,67.23651631673177,2.459458033243815,7.042210896809896,7.839138031005859,177.21124267578125,9.87,-2.31,78.3,0.01,98.51,4.15
41712,37,26.75,51.25,2.3640368779500327,67.85019429524739,1.1817293961842854,5.353073120117188,6.037514368693034,186.87959798177084,4.17,-0.86,85.04,3.74,98.17,2.82
41713,38,26.75,51.25,2.954581578572592,58.73726908365885,1.72038729985555,8.058877309163412,10.76421356201172,190.72261555989584,4.74,-2.16,82.36,0.55,98.4,3.04
41714,39,26.75,51.25,5.087159474690755,58.14881896972656,2.021969795227051,8.768914540608725,11.103004455566406,207.94620768229169,5.66,-2.09,83.18,0.37,99.3,4.15
41715,40,26.75,51.25,3.5724398295084634,60.60911560058594,1.491026242574056,9.38560994466146,12.08190663655599,207.3455607096354,8.52,-1.05,82.08,0.11,100.28,3.03
41716,41,26.75,51.25,1.5720403989156086,75.79312133789062,2.282761573791504,9.977732340494793,11.597604115804035,182.24711100260416,13.93,-0.99,76.45,0.0,100.08,3.94
41717,42,26.75,51.25,1.2875341574350994,76.61355590820312,1.096659819285075,9.736529032389322,11.205677032470703,172.60465494791666,16.17,1.16,74.58,0.0,100.36,3.54
41718,43,26.75,51.25,1.1032239596048992,73.06324259440105,1.861674149831136,9.262346903483072,11.21820322672526,167.0677490234375,16.79,1.49,70.39,0.0,100.1,3.07
41719,44,26.75,51.25,1.8266749382019043,63.66006978352865,0.8582243919372559,10.84699249267578,13.12680435180664,190.17354329427084,17.2,2.35,83.62,0.68,99.65,2.09
41720,45,26.75,51.25,3.870199203491211,37.04549916585287,0.4927326838175456,7.552707672119141,7.715150197347005,215.25557454427084,11.33,6.57,92.05,7.05,99.27,1.36
41721,46,26.75,51.25,2.929725646972656,40.33276112874349,0.317421555519104,5.594741185506185,5.983415603637695,207.03291829427084,9.56,4.93,93.34,4.93,99.27,2.48
41722,47,26.75,51.25,4.3929869333903,36.1409912109375,0.6690080165863037,5.048810005187988,5.632956822713216,206.8583780924479,7.85,3.19,92.13,5.55,99.11,2.17
41723,48,26.75,51.25,4.932921727498372,37.30143229166666,0.6766796112060547,7.198230743408203,7.271634419759114,235.02677408854169,10.27,3.65,91.84,2.16,99.61,1.25
41724,49,26.75,51.25,2.4826114972432456,52.39359029134115,0.7056876023610433,9.291836420694986,10.310070673624674,201.6308390299479,13.69,3.74,88.48,0.67,99.73,1.84
41725,50,26.75,51.25,0.9155116081237792,61.68767801920573,0.7274854183197021,7.192160288492839,8.021714528401693,189.6686808268229,12.81,3.55,84.61,0.39,99.67,2.59
41726,51,26.75,51.25,1.0234774748484294,55.43230183919271,0.5274056990941366,6.657264073689778,7.120398203531901,193.7354939778646,11.13,3.72,86.85,1.31,99.17,1.94
41727,52,26.75,51.25,2.023628234863281,66.62610371907552,1.250555197397868,9.728699366251629,11.099456787109377,204.4309895833333,12.39,2.3,86.83,2.58,99.07,2.37
41728,53,26.75,51.25,2.4462674458821616,74.30774943033855,2.755983670552572,13.35153325398763,14.607598622639976,223.06671142578125,13.26,4.32,87.76,4.33,99.29,3.4
41729,54,26.75,51.25,1.9319597880045567,69.70467631022136,1.687205950419108,5.3862355550130205,7.191895802815755,173.17205810546875,8.58,0.58,78.38,0.16,99.69,3.48
41730,55,26.75,51.25,1.406254768371582,69.28621927897136,0.921861171722412,4.293521245320638,5.465771357218425,153.78328450520834,6.71,-0.28,78.43,0.15,99.9,3.56
41731,56,26.75,51.25,1.7447694142659504,63.228169759114586,0.7861753304799398,4.301550547281901,5.557216644287109,159.63787841796875,8.04,-0.03,73.68,0.18,99.72,2.58
41732,57,26.75,51.25,2.2644572257995605,65.54827880859375,0.9099601109822592,4.422285715738933,5.12882932027181,157.73978678385416,5.5,-2.4,77.69,0.61,99.61,2.3
